name|institution|course_id|language
Summary Statistics in Public Health|Johns Hopkins University|summary-statistics|English
The Changing Global Order|Universiteit Leiden|changing-global-order|English
Global Energy and Climate Policy|University of London|globalenergyandclimatepolicy|English
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho|Universidad Austral|legaltech|Spanish
Probability and Statistics: To p or not to p?|University of London|probability-statistics|English
Gut Check: Exploring Your Microbiome|University of Colorado Boulder|microbiome|English
Econometrics: Methods and Applications|Erasmus University Rotterdam|erasmus-econometrics|English
Разработка веб-сервисов на Go - основы языка|Moscow Institute of Physics and Technology|golang-webservices-1|Russian
Mastering Data Analysis in Excel|Duke University|analytics-excel|English
Basic Statistics|University of Amsterdam|basic-statistics|English
Capstone: Retrieving, Processing, and Visualizing Data with Python|University of Michigan|python-data-visualization|English
Design Thinking for the Greater Good: Innovation in the Social Sector|University of Virginia|uva-darden-design-thinking-social-sector|English
Introduction to Portfolio Construction and Analysis with Python|EDHEC Business School|introduction-portfolio-construction-python|English
Data Analytics for Lean Six Sigma|University of Amsterdam|data-analytics-for-lean-six-sigma|English
Refugees in the 21st Century|University of London|refugees-21st-century|English
Building Containerized Applications on AWS|Amazon Web Services|containerized-apps-on-aws|English
Business Transformation with Google Cloud|Google Cloud|business-transformation-google-cloud|English
Version Control with Git|Atlassian|version-control-with-git|English
Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences|UNSW Sydney (The University of New South Wales)|transmedia-storytelling|English
Excel aplicado a los negocios (Nivel Avanzado)|Universidad Austral|excel-aplicado-negocios-avanzado|Spanish
Introduction to Public Speaking|University of Washington|public-speaking|English
Building Conversational Experiences with Dialogflow|Google Cloud|conversational-experiences-dialogflow|English
Guitar for Beginners|Berklee College of Music|guitar|English
Managing Project Risks and Changes|University of California, Irvine|project-risk-management|English
L'excellence opérationnelle en pratique|ESSEC Business School|excellence-operationnelle|French
Introduction to Cloud Computing|IBM|introduction-to-cloud|English
Sample-based Learning Methods|Alberta Machine Intelligence Institute|sample-based-learning-methods|English
Functional Programming Principles in Scala|École Polytechnique Fédérale de Lausanne|progfun1|English
Introduction to Blockchain Technologies|INSEAD|introduction-blockchain-technologies|English
Introduction to Environmental Law and Policy|The University of North Carolina at Chapel Hill|environmental-law|English
Cameras, Exposure, and Photography|Michigan State University|exposure-photography|English
Democracia y decisiones públicas. Introducción al análisis de políticas públicas|Universitat Autònoma de Barcelona|democracia|Spanish
